"","From","Entry","Gene.Names","Protein.names","Protein.existence","Annotation","Gene.Ontology..GO.","Gene.Ontology.IDs","Gene.encoded.by"
"142","A0A2I2UL98","A0A2I2UL98","ARHGDIB","Rho GDP dissociation inhibitor beta","Inferred from homology","2","cytosol [GO:0005829]; membrane [GO:0016020]; GTPase activity [GO:0003924]; Rho GDP-dissociation inhibitor activity [GO:0005094]; small GTPase binding [GO:0031267]; negative regulation of trophoblast cell migration [GO:1901164]; regulation of Rho protein signal transduction [GO:0035023]; Rho protein signal transduction [GO:0007266]","GO:0003924; GO:0005094; GO:0005829; GO:0007266; GO:0016020; GO:0031267; GO:0035023; GO:1901164",NA
"143","M3WSL5","M3WSL5","ARPC4","Actin-related protein 2/3 complex subunit 4","Inferred from homology","2","Arp2/3 protein complex [GO:0005885]; cell projection [GO:0042995]; cytoplasm [GO:0005737]; actin filament binding [GO:0051015]; enzyme binding [GO:0019899]; protein-macromolecule adaptor activity [GO:0030674]; structural constituent of cytoskeleton [GO:0005200]; actin filament polymerization [GO:0030041]; Arp2/3 complex-mediated actin nucleation [GO:0034314]","GO:0005200; GO:0005737; GO:0005885; GO:0019899; GO:0030041; GO:0030674; GO:0034314; GO:0042995; GO:0051015",NA
"144","M3WMY0","M3WMY0","ARPC5","Actin-related protein 2/3 complex subunit 5","Inferred from homology","3","Arp2/3 protein complex [GO:0005885]; cytoplasm [GO:0005737]; lamellipodium [GO:0030027]; nucleus [GO:0005634]; actin filament binding [GO:0051015]; structural constituent of cytoskeleton [GO:0005200]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; cell migration [GO:0016477]; regulation of actin filament polymerization [GO:0030833]","GO:0005200; GO:0005634; GO:0005737; GO:0005885; GO:0016477; GO:0030027; GO:0030833; GO:0034314; GO:0051015",NA
"145","M3XEH2","M3XEH2","ARRDC1","Arrestin domain containing 1","Inferred from homology","1",NA,NA,NA
"146","A0A5F5Y690","A0A5F5Y690","ARRDC1","Arrestin domain containing 1","Inferred from homology","3","cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; extracellular vesicle [GO:1903561]; plasma membrane [GO:0005886]; arrestin family protein binding [GO:1990763]; identical protein binding [GO:0042802]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-like ligase-substrate adaptor activity [GO:1990756]; extracellular transport [GO:0006858]; extracellular vesicle biogenesis [GO:0140112]; negative regulation of Notch signaling pathway [GO:0045746]; protein transport [GO:0015031]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]","GO:0005737; GO:0005886; GO:0006511; GO:0006858; GO:0015031; GO:0016567; GO:0031410; GO:0031625; GO:0042802; GO:0045746; GO:0140112; GO:1903561; GO:1990756; GO:1990763",NA
"147","M3WDK2","M3WDK2","ARSA","Arylsulfatase A","Inferred from homology","1","plasma membrane [GO:0005886]; arylsulfatase activity [GO:0004065]; binding of sperm to zona pellucida [GO:0007339]","GO:0004065; GO:0005886; GO:0007339",NA
"148","A0A5F5XKR0","A0A5F5XKR0","ARSG","Arylsulfatase G","Inferred from homology","1","hydrolase activity [GO:0016787]","GO:0016787",NA
"149","M3XAU5","M3XAU5","ART1","NAD(P)(+)--arginine ADP-ribosyltransferase (EC 2.4.2.31) (Mono(ADP-ribosyl)transferase)","Inferred from homology","2","cell surface [GO:0009986]; membrane [GO:0016020]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; NAD+-protein-arginine ADP-ribosyltransferase activity [GO:0106274]; nucleotidyltransferase activity [GO:0016779]","GO:0003950; GO:0009986; GO:0016020; GO:0016779; GO:0106274",NA
"150","A0A2I2UC45","A0A2I2UC45","ART3","NAD(P)(+)--arginine ADP-ribosyltransferase (EC 2.4.2.31) (Mono(ADP-ribosyl)transferase)","Inferred from homology","2","membrane [GO:0016020]; NAD+-protein-arginine ADP-ribosyltransferase activity [GO:0106274]; nucleotidyltransferase activity [GO:0016779]","GO:0016020; GO:0016779; GO:0106274",NA
"151","M3XDK8","M3XDK8","ART4","NAD(P)(+)--arginine ADP-ribosyltransferase (EC 2.4.2.31) (Mono(ADP-ribosyl)transferase)","Inferred from homology","2","NAD+ ADP-ribosyltransferase activity [GO:0003950]; NAD+-protein-arginine ADP-ribosyltransferase activity [GO:0106274]; nucleotidyltransferase activity [GO:0016779]","GO:0003950; GO:0016779; GO:0106274",NA
"152","A0A2I2V0N3","A0A2I2V0N3","ASAH1","Acid ceramidase (EC 3.5.1.23)","Inferred from homology","3","extracellular region [GO:0005576]; lysosome [GO:0005764]; ceramidase activity [GO:0102121]; fatty acid amide hydrolase activity [GO:0017064]; N-acylsphingosine amidohydrolase activity [GO:0017040]; fatty acid metabolic process [GO:0006631]; sphingolipid metabolic process [GO:0006665]","GO:0005576; GO:0005764; GO:0006631; GO:0006665; GO:0017040; GO:0017064; GO:0102121",NA
"153","A0A5F5XFU3","A0A5F5XFU3","ASB1","Ankyrin repeat and SOCS box containing 1","Predicted","2","ubiquitin ligase complex [GO:0000151]; ubiquitin protein ligase activity [GO:0061630]; intracellular signal transduction [GO:0035556]; male genitalia development [GO:0030539]; protein ubiquitination [GO:0016567]","GO:0000151; GO:0016567; GO:0030539; GO:0035556; GO:0061630",NA
"154","A0A337SSG0","A0A337SSG0","ASGR1","Asialoglycoprotein receptor 1","Predicted","1","membrane [GO:0016020]","GO:0016020",NA
"155","A0A337SX21","A0A337SX21","ASGR1","Asialoglycoprotein receptor 1","Predicted","1","membrane [GO:0016020]; carbohydrate binding [GO:0030246]","GO:0016020; GO:0030246",NA
"156","A0A337SAN3","A0A337SAN3","ASGR1","Asialoglycoprotein receptor 1","Predicted","1","membrane [GO:0016020]; carbohydrate binding [GO:0030246]","GO:0016020; GO:0030246",NA
"157","A0A2I2U788","A0A2I2U788","ASL","Argininosuccinate lyase","Inferred from homology","2","argininosuccinate lyase activity [GO:0004056]; arginine biosynthetic process via ornithine [GO:0042450]; urea cycle [GO:0000050]","GO:0000050; GO:0004056; GO:0042450",NA
"158","M3WLS9","M3WLS9","ASPDH","Aspartate dehydrogenase domain-containing protein","Inferred from homology","1","aspartate dehydrogenase activity [GO:0033735]; NADP binding [GO:0050661]; NAD biosynthetic process [GO:0009435]","GO:0009435; GO:0033735; GO:0050661",NA
"159","M3WWN6","M3WWN6","ASPN","Asporin","Inferred from homology","2","extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; bone mineralization [GO:0030282]; negative regulation of tooth mineralization [GO:0070171]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]","GO:0005509; GO:0005615; GO:0030282; GO:0030512; GO:0031012; GO:0070171",NA
"160","M3W3H5","M3W3H5","ASS1","Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)","Inferred from homology","2","argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]; arginine biosynthetic process [GO:0006526]; urea cycle [GO:0000050]","GO:0000050; GO:0004055; GO:0005524; GO:0006526",NA
"161","M3W551","M3W551","ATOX1","Copper transport protein ATOX1 (Metal transport protein ATX1)","Inferred from homology","2","cytosol [GO:0005829]; copper chaperone activity [GO:0016531]; copper-dependent protein binding [GO:0032767]; cuprous ion binding [GO:1903136]; copper ion transport [GO:0006825]; intracellular copper ion homeostasis [GO:0006878]","GO:0005829; GO:0006825; GO:0006878; GO:0016531; GO:0032767; GO:1903136",NA
"162","A0A2I2UGY1","A0A2I2UGY1","ATP1A1","Sodium/potassium-transporting ATPase subunit alpha","Inferred from homology","5","apical plasma membrane [GO:0016324]; axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; lateral plasma membrane [GO:0016328]; melanosome [GO:0042470]; organelle membrane [GO:0031090]; postsynaptic density [GO:0014069]; sarcolemma [GO:0042383]; sodium:potassium-exchanging ATPase complex [GO:0005890]; sperm flagellum [GO:0036126]; T-tubule [GO:0030315]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; P-type sodium:potassium-exchanging transporter activity [GO:0005391]; phosphatase activity [GO:0016791]; protein-folding chaperone binding [GO:0051087]; steroid hormone binding [GO:1990239]; transmembrane transporter binding [GO:0044325]; cellular response to steroid hormone stimulus [GO:0071383]; heart contraction [GO:0060047]; intracellular potassium ion homeostasis [GO:0030007]; intracellular sodium ion homeostasis [GO:0006883]; membrane repolarization [GO:0086009]; negative regulation of glucocorticoid biosynthetic process [GO:0031947]; negative regulation of heart contraction [GO:0045822]; osmosensory signaling pathway [GO:0007231]; positive regulation of heart contraction [GO:0045823]; positive regulation of striated muscle contraction [GO:0045989]; potassium ion import across plasma membrane [GO:1990573]; proton transmembrane transport [GO:1902600]; regulation of blood pressure [GO:0008217]; regulation of the force of heart contraction [GO:0002026]; response to glycoside [GO:1903416]; response to xenobiotic stimulus [GO:0009410]; sodium ion export across plasma membrane [GO:0036376]","GO:0002026; GO:0005391; GO:0005524; GO:0005890; GO:0006883; GO:0007231; GO:0008217; GO:0009410; GO:0014069; GO:0016323; GO:0016324; GO:0016328; GO:0016791; GO:0016887; GO:0030007; GO:0030315; GO:0030424; GO:0031090; GO:0031947; GO:0036126; GO:0036376; GO:0042383; GO:0042470; GO:0044325; GO:0045822; GO:0045823; GO:0045989; GO:0046872; GO:0051087; GO:0060047; GO:0071383; GO:0086009; GO:1902600; GO:1903416; GO:1990239; GO:1990573",NA
"163","M3WB86","M3WB86","ATP1B1","Sodium/potassium-transporting ATPase subunit beta","Inferred from homology","5","apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; intercalated disc [GO:0014704]; lateral plasma membrane [GO:0016328]; organelle membrane [GO:0031090]; sodium:potassium-exchanging ATPase complex [GO:0005890]; sperm flagellum [GO:0036126]; T-tubule [GO:0030315]; ATPase activator activity [GO:0001671]; ATPase binding [GO:0051117]; P-type sodium:potassium-exchanging transporter activity [GO:0005391]; protein kinase binding [GO:0019901]; protein-macromolecule adaptor activity [GO:0030674]; ATP metabolic process [GO:0046034]; cardiac muscle contraction [GO:0060048]; cell adhesion [GO:0007155]; intracellular calcium ion homeostasis [GO:0006874]; intracellular potassium ion homeostasis [GO:0030007]; intracellular sodium ion homeostasis [GO:0006883]; membrane repolarization [GO:0086009]; positive regulation of potassium ion import across plasma membrane [GO:1903288]; positive regulation of sodium ion export across plasma membrane [GO:1903278]; potassium ion import across plasma membrane [GO:1990573]; protein localization to plasma membrane [GO:0072659]; protein stabilization [GO:0050821]; regulation of calcium ion transmembrane transport [GO:1903169]; regulation of cardiac muscle contraction by calcium ion signaling [GO:0010882]; regulation of gene expression [GO:0010468]; relaxation of cardiac muscle [GO:0055119]; sodium ion export across plasma membrane [GO:0036376]","GO:0001671; GO:0005391; GO:0005890; GO:0006874; GO:0006883; GO:0007155; GO:0010468; GO:0010882; GO:0014704; GO:0016323; GO:0016324; GO:0016328; GO:0019901; GO:0030007; GO:0030315; GO:0030674; GO:0031090; GO:0036126; GO:0036376; GO:0046034; GO:0050821; GO:0051117; GO:0055119; GO:0060048; GO:0072659; GO:0086009; GO:1903169; GO:1903278; GO:1903288; GO:1990573",NA
"164","M3WZB0","M3WZB0","ATP5F1A","ATP synthase subunit alpha","Inferred from homology","3","COP9 signalosome [GO:0008180]; mitochondrial proton-transporting ATP synthase, catalytic core [GO:0005754]; plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ADP binding [GO:0043531]; angiostatin binding [GO:0043532]; ATP binding [GO:0005524]; MHC class I protein binding [GO:0042288]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; lipid metabolic process [GO:0006629]; negative regulation of endothelial cell proliferation [GO:0001937]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; proton motive force-driven ATP synthesis [GO:0015986]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]","GO:0001937; GO:0005524; GO:0005754; GO:0005886; GO:0006629; GO:0008180; GO:0015986; GO:0042288; GO:0042776; GO:0043531; GO:0043532; GO:0043536; GO:0045261; GO:0046933",NA
"165","M3WF16","M3WF16","ATP6AP1","ATPase H+ transporting accessory protein 1","Inferred from homology","2","endosome membrane [GO:0010008]; presynapse [GO:0098793]; proton-transporting V-type ATPase complex [GO:0033176]; ATPase activator activity [GO:0001671]; small GTPase binding [GO:0031267]; transporter activator activity [GO:0141109]; cellular response to increased oxygen levels [GO:0036295]; endosome to plasma membrane protein transport [GO:0099638]; intracellular iron ion homeostasis [GO:0006879]; osteoclast development [GO:0036035]; regulation of cellular pH [GO:0030641]; synaptic vesicle lumen acidification [GO:0097401]","GO:0001671; GO:0006879; GO:0010008; GO:0030641; GO:0031267; GO:0033176; GO:0036035; GO:0036295; GO:0097401; GO:0098793; GO:0099638; GO:0141109",NA
"166","A0A337SFQ2","A0A337SFQ2","ATP6AP2","Renin receptor (ATPase H(+)-transporting lysosomal accessory protein 2) (ATPase H(+)-transporting lysosomal-interacting protein 2) (Renin/prorenin receptor)","Predicted","3","autophagosome membrane [GO:0000421]; clathrin-coated vesicle membrane [GO:0030665]; dendritic spine membrane [GO:0032591]; endoplasmic reticulum membrane [GO:0005789]; lysosomal membrane [GO:0005765]; synaptic vesicle membrane [GO:0030672]; signaling receptor activity [GO:0038023]","GO:0000421; GO:0005765; GO:0005789; GO:0030665; GO:0030672; GO:0032591; GO:0038023",NA
"167","A0A2I2UMK7","A0A2I2UMK7","ATP6V0A1","V-type proton ATPase subunit a","Inferred from homology","2","clathrin-coated vesicle membrane [GO:0030665]; melanosome [GO:0042470]; synaptic vesicle membrane [GO:0030672]; vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]","GO:0000220; GO:0030665; GO:0030672; GO:0042470; GO:0046961",NA
"168","A0A5F5XUE7","A0A5F5XUE7","ATP6V0C","V-type proton ATPase proteolipid subunit","Inferred from homology","3","clathrin-coated vesicle membrane [GO:0030665]; membrane [GO:0016020]; proton-transporting V-type ATPase, V0 domain [GO:0033179]; synaptic vesicle membrane [GO:0030672]; transmembrane transporter complex [GO:1902495]; vacuolar membrane [GO:0005774]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; ubiquitin protein ligase binding [GO:0031625]; positive regulation of Wnt signaling pathway [GO:0030177]","GO:0005774; GO:0016020; GO:0030177; GO:0030665; GO:0030672; GO:0031625; GO:0033179; GO:0046961; GO:1902495",NA
"169","A0A337SG88","A0A337SG88","ATP6V0D1","V-type proton ATPase subunit","Inferred from homology","3","centrosome [GO:0005813]; early endosome [GO:0005769]; plasma membrane proton-transporting V-type ATPase complex [GO:0033181]; presynapse [GO:0098793]; proton-transporting V-type ATPase, V0 domain [GO:0033179]; transmembrane transporter complex [GO:1902495]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; cellular response to increased oxygen levels [GO:0036295]; intracellular iron ion homeostasis [GO:0006879]; synaptic vesicle lumen acidification [GO:0097401]; vacuolar acidification [GO:0007035]; vacuolar transport [GO:0007034]","GO:0005769; GO:0005813; GO:0006879; GO:0007034; GO:0007035; GO:0016471; GO:0033179; GO:0033181; GO:0036295; GO:0046961; GO:0097401; GO:0098793; GO:1902495",NA
"170","A0A2I2U1C8","A0A2I2U1C8","ATP6V1A","H(+)-transporting two-sector ATPase (EC 7.1.2.2)","Inferred from homology","2","clathrin-coated vesicle membrane [GO:0030665]; proton-transporting V-type ATPase, V1 domain [GO:0033180]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]","GO:0005524; GO:0016887; GO:0030665; GO:0033180; GO:0046933; GO:0046961",NA
